마하,75,163
카다,94,191
자마,75,174
라타,48,150
차차,50,176
다나,77,175
타라,95,157
차카,87,170
마아,68,193
타라,80,196
하사,44,188
사하,43,151
타카,77,183
타타,41,199
라하,88,181
자하,70,181
자나,44,152
자가,53,162
가사,47,193
차가,75,169
가마,41,189
자자,97,152
카카,68,180
파마,84,192
가마,95,173
나파,64,171
차마,63,198
자파,94,152
타카,84,185
가사,55,194
자자,54,182
마나,82,184
아가,62,159
카나,67,182
마카,88,150
자사,79,181
하카,53,156
가가,82,162
다자,75,176
마다,52,193
사타,82,173
마카,69,178
자라,40,187
차차,59,195
가하,47,193
다사,96,154
가가,41,195
라차,66,170
타사,57,199
나자,95,168
카차,62,197
타다,83,174
다마,93,167
나차,93,156
가타,55,188
가하,46,168
타차,81,170
하하,62,172
카타,53,174
라카,53,183
하나,71,161
가라,83,176
사사,47,197
타하,59,194
타카,75,164
가아,82,170
나라,53,151
자라,62,150
하타,47,181
다타,67,187
마나,88,150
아파,99,183
하라,63,185
파라,40,191
나나,45,196
나마,71,188
마파,43,183
자라,73,193
사나,57,156
차라,59,183
가하,52,161
카타,99,173
자라,54,173
나라,89,173
다사,96,177
아다,49,183
마타,67,173
하마,79,164
다자,91,155
사아,80,183
라파,61,158
라타,53,163
사라,88,151
나차,87,174
카가,68,157
나하,62,184
가가,91,153
아자,86,173
마라,71,175
라사,77,160
라하,90,170
나나,41,160
다가,96,181
나하,58,158
사나,58,179
아카,61,171
차다,64,184
파카,68,198
다나,64,190
라다,77,194
가사,72,158
아하,57,167
자파,69,164
차아,45,180
카사,89,151
가파,57,199
자파,78,151
타파,42,165
아다,76,155
아마,57,194
다차,65,153
타다,47,167
타하,91,192
마타,53,152
자타,78,174
아사,44,163
차라,79,178
파나,89,189
하카,67,194
타마,99,193
타마,61,179
차다,77,190
차하,64,189
사가,45,199
가타,65,182
가라,73,168
가타,44,192
라가,62,162
라파,71,197
차카,57,185
나나,87,190
하가,76,184
차파,62,188
파아,76,155
나라,96,159
사다,81,151
파타,42,198
아라,92,153
자차,56,178
사자,79,163
파카,94,157
아하,74,167
하가,59,188
라카,78,188
라가,46,170
아카,94,151
파아,87,187
마다,65,198
타차,47,151
타가,61,195
자카,48,175
라라,44,189
가파,64,199
아나,43,199
마타,79,184
타카,41,172
하가,56,176
다아,44,172
파사,73,173
하라,57,186
사하,83,153
파가,66,185
카라,84,159
카카,55,154
타카,97,179
카아,46,172
가사,80,176
라하,70,171
다가,94,180
자가,84,194
사자,94,172
파다,49,191
카하,82,153
다자,65,161
카라,52,163
가사,63,186
가나,83,162
다차,51,189
아자,48,167
사다,94,191
아아,73,191
아타,95,157
가나,70,165
차카,64,196
아나,53,187
마파,93,189
나가,48,160
마하,74,182
아카,86,150
다사,69,178
마차,95,178
차라,56,184
자아,86,159
나라,88,159
파자,69,199
사자,51,177
아마,69,192
가하,66,158
라가,72,154
차마,55,152
타가,49,191
가마,75,170
타나,58,159
하하,80,150
파나,87,185
차나,47,184
사다,95,185
파마,63,173
자가,87,182
다다,70,177
사하,72,157
사사,41,161
카나,74,153
가다,95,199
사하,97,184
가라,71,168
카차,82,188
차사,87,194
사차,46,191
아사,70,194
다가,83,191
나나,88,184
차자,40,175
가카,88,193
카가,42,173
라하,78,159
차라,80,183
차차,49,179
다다,75,165
타파,67,180
파차,76,170
다라,76,197
차사,40,152
카파,87,161
자자,51,169
아자,78,186
타타,93,182
파카,85,193
다카,90,192
하라,66,152
마마,42,158
마자,46,161
카차,64,185
마타,96,155
카다,49,190
타차,95,181
나하,82,170
사가,81,176
가사,57,197
하마,71,172
차파,63,174
하타,65,161
타자,41,164
파타,77,157
아사,71,185
카라,51,176
카나,63,163
마차,84,173
가카,80,171
아차,71,192
나카,42,190
사하,99,186
마하,64,157
파마,60,161
사마,90,170
다마,66,174
카라,84,180
하나,43,168
타차,77,185
하하,72,196
타타,96,155
파하,84,194
파다,69,165
라라,73,166
가자,62,170
라사,83,165
라타,67,175
아가,76,160
타카,65,171
라파,42,152
마아,68,188
사다,63,183
사나,94,199
다마,98,189
자다,41,161
가타,66,198
자사,89,160
사아,83,155
마마,53,153
자마,66,192
사사,82,172
라자,64,154
하카,58,162
아사,97,173
차타,71,170
차마,75,162
하차,90,180
다자,80,163
파카,89,188
아다,92,198
가파,97,194
파나,41,182
나타,65,196
자자,69,160
마나,79,199
다하,66,195
타아,69,178
자아,87,171
자가,62,155
나차,62,195
라자,42,152
아사,53,156
파마,62,174
라하,63,191
차가,81,152
가자,95,155
마마,40,198
사타,69,171
나나,78,176
자마,85,188
파차,59,160
타마,52,150
마아,56,165
카라,88,176
하마,99,166
파사,44,155
라마,84,173
파카,58,152
라파,57,199
가마,70,167
가사,42,153
나나,66,196
마사,48,187
차하,48,195
카마,88,158
하파,49,158
가사,99,153
나사,43,187
다하,98,151
마다,73,176
파차,93,182
사자,40,152
타하,62,191
마라,46,180
사카,44,182
다자,69,165
하사,63,196
아나,54,155
아나,47,167
카아,78,167
다자,97,153
사마,65,188
자사,48,161
타가,79,181
가카,47,184
타아,83,194
차자,81,171
가라,55,175
하아,53,182
파하,94,164
라나,79,180
자나,77,180
나차,92,153
나아,44,156
타파,98,183
가다,62,155
마라,91,150
타하,53,182
사타,70,165
아다,80,192
카아,41,178
자자,52,152
하자,68,169
타다,60,172
차가,86,162
마가,72,156
차타,91,170
자파,62,181
카차,49,192
가마,99,152
자다,89,175
마아,50,152
아사,41,172
차가,65,156
하카,53,179
아자,80,166
가타,98,160
마카,85,185
마파,99,172
다가,51,156
나다,57,158
사다,71,166
